module,gene,kME,GS_RA,connectivity,is_hub
brown,SNRNP200,0.738,-0.515,55.39,FALSE
brown,ZFP91,0.726,-0.552,55.13,FALSE
brown,GEMIN4,0.744,-0.547,55.08,FALSE
brown,SH3BGRL3,0.714,-0.345,55.04,FALSE
brown,ANKZF1,0.732,-0.428,55.03,FALSE
brown,C7orf26,0.736,-0.404,55.02,FALSE
brown,GNL3L,0.717,-0.482,54.92,FALSE
brown,MDM4,0.742,-0.474,54.82,FALSE
brown,AGFG2,0.733,-0.417,54.59,FALSE
brown,FAM53B,0.732,-0.416,54.42,FALSE
brown,LRRC47,0.745,-0.449,54.41,FALSE
brown,HTT,0.743,-0.396,54.21,FALSE
brown,BRD9,0.757,-0.48,54.19,FALSE
brown,LRBA,0.721,-0.535,53.95,FALSE
brown,DDB1,0.73,-0.484,53.84,FALSE
brown,EEF2,0.741,-0.489,53.7,FALSE
brown,TAF6,0.732,-0.429,53.64,FALSE
brown,PRPF19,0.747,-0.475,53.62,FALSE
brown,ST3GAL1,0.726,-0.417,53.59,FALSE
brown,ZBTB7A,0.723,-0.437,53.51,FALSE
brown,PQBP1,0.729,-0.41,53.5,FALSE
brown,RAD54L2,0.734,-0.501,53.48,FALSE
brown,PITPNC1,0.737,-0.42,53.45,FALSE
brown,YWHAB,0.714,-0.389,53.41,FALSE
brown,DHPS,0.733,-0.46,53.34,FALSE
brown,FBRSL1,0.727,-0.479,53.01,FALSE
brown,UBXN1,0.725,-0.361,52.86,FALSE
brown,PI4KA,0.726,-0.492,52.7,FALSE
brown,STIP1,0.707,-0.437,52.64,FALSE
brown,ASB1,0.737,-0.464,52.48,FALSE
brown,ATP5SL,0.741,-0.424,52.41,FALSE
brown,DHX33,0.726,-0.401,52.38,FALSE
brown,CD81,0.731,-0.435,52.28,FALSE
brown,PARN,0.709,-0.397,52.2,FALSE
brown,SMARCC1,0.708,-0.492,51.94,FALSE
brown,COPZ1,0.733,-0.391,51.91,FALSE
brown,STUB1,0.731,-0.417,51.87,FALSE
brown,BMS1,0.715,-0.488,51.86,FALSE
brown,REPIN1,0.74,-0.47,51.86,FALSE
brown,RANBP3,0.72,-0.455,51.85,FALSE
brown,REPS1,0.73,-0.526,51.82,FALSE
brown,SMPD1,0.725,-0.402,51.81,FALSE
brown,IMPDH2,0.72,-0.419,51.7,FALSE
brown,ALG3,0.735,-0.365,51.61,FALSE
brown,PGAP3,0.746,-0.388,51.54,FALSE
brown,HEXA,0.728,-0.482,51.52,FALSE
brown,GSTP1,0.7,-0.357,51.5,FALSE
brown,IL10RA,0.729,-0.354,51.41,FALSE
brown,L3MBTL2,0.732,-0.463,51.38,FALSE
brown,RPAP1,0.741,-0.42,51.27,FALSE
brown,EP400,0.695,-0.485,51.11,FALSE
brown,HNRNPM,0.718,-0.405,51.07,FALSE
brown,RASGRP2,0.719,-0.393,51.03,FALSE
brown,EHMT2,0.742,-0.382,50.94,FALSE
brown,HCST,0.731,-0.376,50.84,FALSE
brown,TPI1,0.697,-0.314,50.77,FALSE
brown,TMEM109,0.723,-0.509,50.6,FALSE
brown,HYOU1,0.721,-0.432,50.58,FALSE
brown,TRAP1,0.733,-0.47,50.56,FALSE
brown,UBQLN4,0.733,-0.525,50.54,FALSE
brown,CDK2AP2,0.728,-0.405,50.47,FALSE
brown,BTBD7,0.709,-0.387,50.32,FALSE
brown,NDUFA11,0.707,-0.348,50.28,FALSE
brown,FKBP4,0.728,-0.452,50.25,FALSE
brown,MRPS2,0.739,-0.36,50.2,FALSE
brown,DNPEP,0.722,-0.39,50.18,FALSE
brown,SLC25A22,0.728,-0.431,50.18,FALSE
brown,FAM168B,0.721,-0.506,50.12,FALSE
brown,MRPL49,0.724,-0.425,50.09,FALSE
brown,WDR54,0.711,-0.41,50.02,FALSE
brown,POLR3A,0.733,-0.462,50.01,FALSE
brown,TNPO2,0.731,-0.533,50.01,FALSE
brown,SNRNP70,0.709,-0.491,49.81,FALSE
brown,CIRBP,0.722,-0.437,49.75,FALSE
brown,SETD4,0.727,-0.433,49.73,FALSE
brown,ELAC2,0.734,-0.447,49.63,FALSE
brown,CSNK2A2,0.704,-0.515,49.62,FALSE
brown,MAFK,0.715,-0.432,49.53,FALSE
brown,LSM12,0.701,-0.363,49.52,FALSE
brown,HSD17B10,0.714,-0.408,49.38,FALSE
brown,NCKAP1L,0.68,-0.463,49.21,FALSE
brown,FBXO31,0.727,-0.454,49.2,FALSE
brown,SYTL1,0.718,-0.39,49.05,FALSE
brown,H1FX,0.732,-0.281,48.99,FALSE
brown,MSTO1,0.722,-0.464,48.97,FALSE
brown,APRT,0.716,-0.374,48.84,FALSE
brown,IL2RG,0.713,-0.343,48.75,FALSE
brown,MTCH2,0.701,-0.311,48.72,FALSE
brown,UBE2G2,0.71,-0.458,48.7,FALSE
brown,AARS,0.724,-0.502,48.52,FALSE
brown,ZNF444,0.727,-0.41,48.52,FALSE
brown,ZNF562,0.725,-0.457,48.23,FALSE
brown,TMEM41A,0.73,-0.304,48.22,FALSE
brown,WDR81,0.717,-0.46,48.15,FALSE
brown,PRPF4,0.701,-0.383,48.09,FALSE
brown,SEC13,0.695,-0.403,48.04,FALSE
brown,OSBPL7,0.718,-0.43,47.98,FALSE
brown,NCOR1,0.676,-0.401,47.94,FALSE
brown,ZNF395,0.704,-0.416,47.94,FALSE
brown,PRPF31,0.732,-0.495,47.86,FALSE
brown,GABBR1,0.724,-0.433,47.82,FALSE
brown,AKR7A2,0.717,-0.402,47.63,FALSE
brown,PTPN23,0.696,-0.437,47.62,FALSE
brown,IPO13,0.718,-0.502,47.4,FALSE
brown,CPSF4,0.725,-0.373,47.16,FALSE
brown,TMEM229B,0.709,-0.347,47.1,FALSE
brown,GSS,0.728,-0.434,47.01,FALSE
brown,SAE1,0.716,-0.431,47.01,FALSE
brown,TSPYL2,0.709,-0.441,46.9,FALSE
brown,ARL2,0.726,-0.409,46.8,FALSE
brown,CBX6,0.721,-0.479,46.74,FALSE
brown,FUS,0.699,-0.447,46.74,FALSE
brown,MBD3,0.712,-0.399,46.7,FALSE
brown,CDC37,0.701,-0.423,46.64,FALSE
brown,MOGS,0.721,-0.403,46.58,FALSE
brown,POGZ,0.705,-0.426,46.51,FALSE
brown,BRPF1,0.698,-0.433,46.45,FALSE
brown,LRRC41,0.709,-0.414,46.44,FALSE
brown,TMEM173,0.715,-0.361,46.38,FALSE
brown,TPM3,0.69,-0.39,46.35,FALSE
brown,JAK1,0.68,-0.477,46.28,FALSE
brown,FAF1,0.7,-0.344,46.21,FALSE
brown,COG4,0.69,-0.354,45.97,FALSE
brown,IDH2,0.706,-0.374,45.9,FALSE
brown,EML3,0.687,-0.386,45.85,FALSE
brown,TGIF2,0.709,-0.431,45.85,FALSE
brown,FOXK1,0.686,-0.459,45.38,FALSE
brown,RUVBL1,0.695,-0.486,45.26,FALSE
brown,ALMS1,0.705,-0.459,45.21,FALSE
brown,RABGAP1,0.684,-0.4,45.21,FALSE
brown,GTF3C2,0.697,-0.511,45.08,FALSE
brown,CD99,0.706,-0.393,44.97,FALSE
brown,FDPS,0.685,-0.43,44.92,FALSE
brown,STK38,0.69,-0.284,44.89,FALSE
brown,HMGXB4,0.698,-0.341,44.86,FALSE
brown,NOC4L,0.711,-0.488,44.85,FALSE
brown,AIP,0.703,-0.398,44.78,FALSE
brown,EIF5B,0.685,-0.428,44.69,FALSE
brown,CD3E,0.704,-0.382,44.67,FALSE
brown,PDIA3,0.661,-0.42,44.53,FALSE
brown,SUMF2,0.699,-0.4,44.51,FALSE
brown,CD4,0.689,-0.321,44.35,FALSE
brown,AKR1B1,0.697,-0.311,44.21,FALSE
brown,ATP13A1,0.709,-0.437,44.11,FALSE
brown,ZBTB40,0.688,-0.427,43.93,FALSE
brown,SNRPA,0.717,-0.428,43.9,FALSE
brown,HADHA,0.688,-0.411,43.88,FALSE
brown,MTHFD1,0.693,-0.468,43.86,FALSE
brown,LUC7L,0.684,-0.471,43.66,FALSE
brown,OGG1,0.711,-0.388,43.56,FALSE
brown,DNAH1,0.685,-0.447,43.45,FALSE
brown,SLC25A23,0.693,-0.423,43.42,FALSE
brown,CRY2,0.709,-0.418,43.36,FALSE
brown,CELF1,0.69,-0.471,43.24,FALSE
brown,DPP9,0.694,-0.352,43.23,FALSE
brown,ILKAP,0.707,-0.449,43.21,FALSE
brown,PITPNB,0.688,-0.43,43.21,FALSE
brown,ATP5G1,0.686,-0.357,43.18,FALSE
brown,DVL2,0.697,-0.544,43.16,FALSE
brown,SYMPK,0.693,-0.486,43.16,FALSE
brown,PSMB2,0.649,-0.33,43.14,FALSE
brown,MFNG,0.688,-0.417,43.09,FALSE
brown,XYLT2,0.711,-0.412,42.9,FALSE
brown,ERGIC3,0.69,-0.316,42.77,FALSE
brown,MZF1,0.685,-0.493,42.69,FALSE
brown,KIF3B,0.681,-0.491,42.53,FALSE
brown,DOK2,0.686,-0.355,42.52,FALSE
brown,ARHGEF7,0.687,-0.376,42.45,FALSE
brown,CDK4,0.69,-0.396,42.43,FALSE
brown,NDUFB9,0.66,-0.34,42.4,FALSE
brown,PRMT1,0.684,-0.438,42.34,FALSE
brown,AMT,0.689,-0.468,42.32,FALSE
brown,AIMP2,0.68,-0.474,42.29,FALSE
brown,YTHDF2,0.652,-0.427,42.29,FALSE
brown,PSMC3,0.689,-0.427,42.26,FALSE
brown,VPS52,0.679,-0.402,42.21,FALSE
brown,RAB8A,0.653,-0.284,42.19,FALSE
brown,MED26,0.684,-0.486,41.98,FALSE
brown,KIAA1191,0.688,-0.335,41.88,FALSE
brown,FAM127A,0.677,-0.319,41.83,FALSE
brown,CAD,0.69,-0.436,41.76,FALSE
brown,SF3A3,0.704,-0.471,41.74,FALSE
brown,NOC2L,0.698,-0.412,41.72,FALSE
brown,C9orf69,0.679,-0.341,41.66,FALSE
brown,THAP4,0.7,-0.44,41.66,FALSE
brown,CNOT4,0.699,-0.457,41.61,FALSE
brown,DHRS3,0.693,-0.355,41.43,FALSE
brown,NOP2,0.688,-0.534,41.43,FALSE
brown,DEXI,0.702,-0.382,41.35,FALSE
brown,WDR46,0.704,-0.477,41.34,FALSE
brown,MMP19,0.688,-0.442,41.32,FALSE
brown,POLR2G,0.68,-0.272,41.32,FALSE
brown,CD247,0.675,-0.317,41.31,FALSE
brown,APOL3,0.692,-0.398,41.29,FALSE
brown,HECTD3,0.668,-0.457,41.24,FALSE
brown,UBE2Z,0.695,-0.325,41.21,FALSE
brown,FNIP2,0.679,-0.364,41.17,FALSE
brown,HNRNPAB,0.672,-0.43,40.95,FALSE
brown,POM121,0.68,-0.452,40.95,FALSE
brown,TBCD,0.687,-0.412,40.95,FALSE
brown,ZNF275,0.68,-0.333,40.9,FALSE
brown,PSMD3,0.689,-0.424,40.87,FALSE
brown,PMPCA,0.704,-0.382,40.74,FALSE
brown,RNF26,0.693,-0.336,40.72,FALSE
brown,PTPN7,0.698,-0.403,40.6,FALSE
brown,SCRN1,0.689,-0.527,40.59,FALSE
brown,EDC4,0.684,-0.522,40.58,FALSE
brown,XPO5,0.694,-0.421,40.57,FALSE
brown,SGSM2,0.663,-0.441,40.52,FALSE
brown,TESK1,0.674,-0.416,40.45,FALSE
brown,ACAP1,0.671,-0.377,40.43,FALSE
brown,DCTD,0.682,-0.401,40.39,FALSE
brown,IMP4,0.701,-0.37,40.38,FALSE
brown,CKAP5,0.668,-0.445,40.36,FALSE
brown,AP4B1,0.683,-0.366,40.16,FALSE
brown,FKBP2,0.675,-0.458,40.1,FALSE
brown,SMG6,0.689,-0.425,40.1,FALSE
brown,SGSM3,0.689,-0.434,40.05,FALSE
brown,SIN3A,0.649,-0.429,40.05,FALSE
brown,ALDH16A1,0.691,-0.428,39.82,FALSE
brown,TMEM63A,0.673,-0.43,39.81,FALSE
brown,DHX30,0.697,-0.451,39.8,FALSE
brown,SEC31B,0.692,-0.455,39.75,FALSE
brown,AUP1,0.677,-0.437,39.59,FALSE
brown,XPNPEP1,0.673,-0.412,39.49,FALSE
brown,DDX42,0.662,-0.414,39.41,FALSE
brown,DCAF5,0.675,-0.393,39.37,FALSE
brown,HSPBP1,0.697,-0.408,39.35,FALSE
brown,NOB1,0.679,-0.479,39.32,FALSE
brown,VGLL4,0.691,-0.377,39.27,FALSE
brown,KRI1,0.67,-0.471,39.23,FALSE
brown,DMAP1,0.692,-0.451,39.04,FALSE
brown,EHD4,0.65,-0.442,39.01,FALSE
brown,TGOLN2,0.654,-0.393,38.97,FALSE
brown,VPS13D,0.662,-0.429,38.9,FALSE
brown,TBC1D9B,0.669,-0.403,38.85,FALSE
brown,C10orf76,0.692,-0.346,38.79,FALSE
brown,DGKD,0.67,-0.384,38.78,FALSE
brown,PTPN1,0.661,-0.358,38.77,FALSE
brown,EIF1AD,0.655,-0.418,38.68,FALSE
brown,NCAPD2,0.654,-0.426,38.6,FALSE
brown,SLA2,0.679,-0.378,38.6,FALSE
brown,RBM6,0.68,-0.428,38.56,FALSE
brown,ACACA,0.679,-0.475,38.53,FALSE
brown,SIPA1L3,0.68,-0.447,38.45,FALSE
brown,CBLB,0.646,-0.448,38.39,FALSE
brown,FH,0.655,-0.381,38.35,FALSE
brown,EIF4H,0.677,-0.322,38.24,FALSE
brown,EMD,0.67,-0.359,38.2,FALSE
brown,FASTK,0.682,-0.429,38.13,FALSE
brown,CARD11,0.676,-0.478,38,FALSE
brown,SLC35C2,0.664,-0.402,37.96,FALSE
brown,R3HDM2,0.645,-0.424,37.94,FALSE
brown,CLPTM1L,0.648,-0.342,37.93,FALSE
brown,STT3A,0.653,-0.402,37.85,FALSE
brown,CFL1,0.664,-0.343,37.78,FALSE
brown,ABI3,0.647,-0.311,37.73,FALSE
brown,JMJD8,0.665,-0.444,37.55,FALSE
brown,SLAMF6,0.651,-0.362,37.54,FALSE
brown,IDH3A,0.671,-0.369,37.41,FALSE
brown,SLC5A6,0.669,-0.433,37.37,FALSE
brown,NCL,0.65,-0.406,37.31,FALSE
brown,ASH1L,0.655,-0.465,37.27,FALSE
brown,IVD,0.692,-0.437,37.18,FALSE
brown,CTU2,0.654,-0.331,37.06,FALSE
brown,DRG2,0.672,-0.441,37.06,FALSE
brown,RAD9A,0.662,-0.386,37.01,FALSE
brown,DEPDC5,0.672,-0.402,36.91,FALSE
brown,WBP11,0.66,-0.527,36.91,FALSE
brown,C6orf136,0.667,-0.483,36.8,FALSE
brown,AARS2,0.669,-0.469,36.76,FALSE
brown,UBFD1,0.664,-0.417,36.73,FALSE
brown,MPRIP,0.667,-0.442,36.66,FALSE
brown,PSMD7,0.658,-0.351,36.6,FALSE
brown,APOBEC3F,0.671,-0.368,36.52,FALSE
brown,PPDPF,0.661,-0.404,36.52,FALSE
brown,MCM7,0.671,-0.368,36.47,FALSE
brown,CREB3L2,0.651,-0.476,36.37,FALSE
brown,FAM189B,0.65,-0.407,36.37,FALSE
brown,THRAP3,0.637,-0.356,36.37,FALSE
brown,NOP14,0.675,-0.448,36.32,FALSE
brown,RAB11FIP3,0.652,-0.431,36.29,FALSE
brown,NDUFA3,0.661,-0.319,36.27,FALSE
brown,SGK223,0.642,-0.439,36.27,FALSE
brown,INTS4,0.663,-0.47,36.21,FALSE
brown,CNP,0.662,-0.268,36.1,FALSE
brown,PFAS,0.643,-0.491,36.05,FALSE
brown,GMPPA,0.648,-0.364,36.03,FALSE
brown,TMEM214,0.651,-0.336,36.03,FALSE
brown,PHF19,0.683,-0.387,36,FALSE
brown,DDX19A,0.642,-0.429,35.95,FALSE
brown,PHC1,0.648,-0.402,35.9,FALSE
brown,USF2,0.659,-0.294,35.86,FALSE
brown,RHBDD1,0.656,-0.424,35.81,FALSE
brown,COPS7B,0.669,-0.457,35.75,FALSE
brown,TMX2,0.666,-0.308,35.71,FALSE
brown,VPS72,0.679,-0.244,35.71,FALSE
brown,SLC35C1,0.666,-0.343,35.66,FALSE
brown,EHMT1,0.654,-0.465,35.59,FALSE
brown,USP34,0.653,-0.409,35.59,FALSE
brown,SSBP3,0.646,-0.34,35.58,FALSE
brown,CALR,0.657,-0.334,35.55,FALSE
brown,ORAI1,0.664,-0.397,35.35,FALSE
brown,HNRNPA0,0.618,-0.425,35.32,FALSE
brown,HIGD2A,0.626,-0.22,35.3,FALSE
brown,HSPB1,0.669,-0.394,35.28,FALSE
brown,STK24,0.651,-0.353,35.2,FALSE
brown,SUPV3L1,0.647,-0.457,35.18,FALSE
brown,ZDHHC4,0.667,-0.249,35.04,FALSE
brown,JRK,0.673,-0.41,34.88,FALSE
brown,MYO9A,0.652,-0.411,34.84,FALSE
brown,TBC1D5,0.64,-0.356,34.84,FALSE
brown,TBC1D10C,0.631,-0.367,34.83,FALSE
brown,COG2,0.659,-0.428,34.82,FALSE
brown,RPA1,0.659,-0.48,34.76,FALSE
brown,NPRL2,0.637,-0.463,34.72,FALSE
brown,RFTN1,0.641,-0.378,34.69,FALSE
brown,ALDH18A1,0.627,-0.398,34.68,FALSE
brown,SPPL3,0.654,-0.478,34.67,FALSE
brown,COX8A,0.629,-0.219,34.63,FALSE
brown,DUS1L,0.653,-0.401,34.43,FALSE
brown,PLOD3,0.641,-0.312,34.42,FALSE
brown,MAN1B1,0.648,-0.319,34.4,FALSE
brown,CNNM3,0.639,-0.351,34.33,FALSE
brown,CHCHD10,0.661,-0.348,34.32,FALSE
brown,HMOX2,0.653,-0.316,34.29,FALSE
brown,TMEM219,0.612,-0.249,34.29,FALSE
brown,CDK9,0.649,-0.369,34.23,FALSE
brown,POLR2L,0.614,-0.297,34.21,FALSE
brown,DDX51,0.66,-0.383,34.2,FALSE
brown,TUFM,0.662,-0.457,34.13,FALSE
brown,C2orf42,0.66,-0.373,33.98,FALSE
brown,PAFAH1B1,0.604,-0.408,33.97,FALSE
brown,SFXN3,0.652,-0.338,33.9,FALSE
brown,GALK2,0.646,-0.325,33.86,FALSE
brown,CHST14,0.639,-0.349,33.81,FALSE
brown,HAUS7,0.668,-0.425,33.8,FALSE
brown,PUS1,0.658,-0.385,33.75,FALSE
brown,RBM4B,0.661,-0.294,33.72,FALSE
brown,CCDC22,0.658,-0.318,33.7,FALSE
brown,NICN1,0.664,-0.352,33.68,FALSE
brown,FLNB,0.655,-0.432,33.66,FALSE
brown,BANF1,0.659,-0.317,33.62,FALSE
brown,CCDC107,0.648,-0.43,33.59,FALSE
brown,HNRNPU,0.617,-0.51,33.56,FALSE
brown,SETD1A,0.643,-0.405,33.5,FALSE
brown,DCAKD,0.65,-0.37,33.36,FALSE
brown,ZNF142,0.651,-0.467,33.33,FALSE
brown,GIMAP8,0.605,-0.366,33.24,FALSE
brown,UBTF,0.632,-0.344,33.24,FALSE
brown,DND1,0.642,-0.328,33.21,FALSE
brown,SPNS1,0.657,-0.44,33.21,FALSE
brown,GEMIN5,0.639,-0.448,33.11,FALSE
brown,ENTPD6,0.651,-0.446,33.09,FALSE
brown,EIF3D,0.618,-0.422,32.93,FALSE
brown,FUK,0.641,-0.429,32.87,FALSE
brown,PYGO2,0.646,-0.426,32.86,FALSE
brown,YTHDF1,0.625,-0.493,32.85,FALSE
brown,PABPC1,0.658,-0.338,32.84,FALSE
brown,HLA-DRB1,0.628,-0.346,32.77,FALSE
brown,MAP2K5,0.649,-0.31,32.76,FALSE
brown,ITPA,0.651,-0.361,32.73,FALSE
brown,TMEM39B,0.658,-0.37,32.68,FALSE
brown,PATZ1,0.629,-0.463,32.6,FALSE
brown,HAS3,0.637,-0.42,32.55,FALSE
brown,SAMD11,0.641,-0.401,32.52,FALSE
brown,BIRC6,0.596,-0.416,32.51,FALSE
brown,MRPL38,0.661,-0.357,32.51,FALSE
brown,TUBGCP6,0.623,-0.326,32.48,FALSE
brown,PGPEP1,0.646,-0.371,32.47,FALSE
brown,FAM160B2,0.653,-0.382,32.44,FALSE
brown,COX6B1,0.611,-0.269,32.3,FALSE
brown,PARP6,0.651,-0.383,32.25,FALSE
brown,C14orf169,0.63,-0.294,32.18,FALSE
brown,ENO3,0.635,-0.378,32.17,FALSE
brown,USP5,0.645,-0.367,32.13,FALSE
brown,IKBKE,0.661,-0.396,32.12,FALSE
brown,TSR2,0.628,-0.326,32.1,FALSE
brown,HLA-DMA,0.626,-0.332,32.08,FALSE
brown,EME2,0.644,-0.392,32.05,FALSE
brown,SIGMAR1,0.646,-0.282,32.05,FALSE
brown,LFNG,0.66,-0.344,32,FALSE
brown,TSEN54,0.634,-0.393,31.99,FALSE
brown,VAC14,0.635,-0.373,31.95,FALSE
brown,VDAC2,0.626,-0.311,31.93,FALSE
brown,MAGED2,0.655,-0.407,31.88,FALSE
brown,MRPL37,0.637,-0.312,31.87,FALSE
brown,NUDT16L1,0.635,-0.421,31.86,FALSE
brown,NFATC1,0.643,-0.391,31.76,FALSE
brown,ZHX2,0.618,-0.448,31.69,FALSE
brown,CHRAC1,0.639,-0.333,31.67,FALSE
brown,LZTR1,0.634,-0.365,31.42,FALSE
brown,SDR39U1,0.618,-0.37,31.4,FALSE
brown,IKZF3,0.615,-0.411,31.39,FALSE
brown,CEP164,0.631,-0.378,31.37,FALSE
brown,RRP8,0.653,-0.414,31.35,FALSE
brown,C11orf49,0.644,-0.425,31.33,FALSE
brown,DCXR,0.636,-0.325,31.33,FALSE
brown,MPV17,0.63,-0.302,31.32,FALSE
brown,IRAK1,0.613,-0.371,31.27,FALSE
brown,HERC1,0.586,-0.422,31.24,FALSE
brown,ZNF581,0.617,-0.297,31.24,FALSE
brown,MYO1G,0.649,-0.475,31.22,FALSE
brown,DSERG1,0.619,-0.31,31.19,FALSE
brown,MAPRE1,0.588,-0.307,31.15,FALSE
brown,MFHAS1,0.617,-0.31,31.13,FALSE
brown,HAUS5,0.624,-0.317,31.05,FALSE
brown,NCKIPSD,0.633,-0.371,31.01,FALSE
brown,SPDYE2,0.643,-0.402,31.01,FALSE
brown,IFFO2,0.622,-0.452,30.99,FALSE
brown,EIF2B1,0.631,-0.401,30.96,FALSE
brown,BLMH,0.632,-0.338,30.95,FALSE
brown,POMT1,0.632,-0.456,30.88,FALSE
brown,D2HGDH,0.633,-0.402,30.68,FALSE
brown,METTL2B,0.635,-0.314,30.68,FALSE
brown,ATAD3A,0.633,-0.417,30.57,FALSE
brown,WDR77,0.629,-0.438,30.57,FALSE
brown,CYC1,0.589,-0.246,30.53,FALSE
brown,ALG8,0.617,-0.317,30.47,FALSE
brown,SLC25A5,0.59,-0.332,30.31,FALSE
brown,RNF113A,0.633,-0.41,30.29,FALSE
brown,TULP3,0.639,-0.408,30.29,FALSE
brown,ATP5G2,0.631,-0.333,30.23,FALSE
brown,LAS1L,0.643,-0.328,30.17,FALSE
brown,LUC7L2,0.611,-0.329,30.17,FALSE
brown,MTDH,0.607,-0.353,30.16,FALSE
brown,RASSF1,0.63,-0.397,30.16,FALSE
brown,USP7,0.628,-0.467,30.13,FALSE
brown,SYNGR2,0.602,-0.275,30.11,FALSE
brown,MED1,0.609,-0.511,30.06,FALSE
brown,HN1L,0.624,-0.412,30.01,FALSE
brown,ATP2A2,0.64,-0.347,29.97,FALSE
brown,MRPL4,0.627,-0.308,29.95,FALSE
brown,SUPT16H,0.613,-0.335,29.91,FALSE
brown,RAD50,0.613,-0.314,29.82,FALSE
brown,URGCP,0.638,-0.4,29.82,FALSE
brown,CCDC86,0.618,-0.383,29.8,FALSE
brown,INO80,0.617,-0.366,29.68,FALSE
brown,NR2C2AP,0.63,-0.441,29.56,FALSE
brown,HKR1,0.621,-0.396,29.55,FALSE
brown,SRM,0.629,-0.409,29.53,FALSE
brown,TSPAN18,0.634,-0.347,29.52,FALSE
brown,TSR1,0.62,-0.434,29.52,FALSE
brown,ZDHHC16,0.639,-0.292,29.44,FALSE
brown,INTS9,0.636,-0.465,29.37,FALSE
brown,RPTOR,0.636,-0.427,29.32,FALSE
brown,LPCAT1,0.599,-0.329,29.3,FALSE
brown,TIMM50,0.62,-0.281,29.08,FALSE
brown,ARRDC2,0.636,-0.319,29.01,FALSE
brown,STK25,0.617,-0.383,28.99,FALSE
brown,MRPL55,0.626,-0.336,28.92,FALSE
brown,CCDC94,0.624,-0.331,28.89,FALSE
brown,BCS1L,0.599,-0.361,28.86,FALSE
brown,AHCYL2,0.62,-0.343,28.79,FALSE
brown,TRUB2,0.643,-0.337,28.79,FALSE
brown,BET1L,0.617,-0.309,28.77,FALSE
brown,CARNS1,0.626,-0.336,28.69,FALSE
brown,DOT1L,0.62,-0.376,28.67,FALSE
brown,PPARD,0.609,-0.435,28.66,FALSE
brown,COMMD7,0.602,-0.29,28.65,FALSE
brown,USP24,0.604,-0.426,28.62,FALSE
brown,APBA2,0.609,-0.383,28.57,FALSE
brown,PROSC,0.604,-0.352,28.53,FALSE
brown,APH1A,0.599,-0.251,28.52,FALSE
brown,IL2RB,0.618,-0.351,28.51,FALSE
brown,RNF126,0.625,-0.374,28.45,FALSE
brown,KLHDC4,0.632,-0.38,28.41,FALSE
brown,LSG1,0.62,-0.411,28.4,FALSE
brown,CXCR3,0.607,-0.435,28.29,FALSE
brown,JOSD1,0.619,-0.255,28.29,FALSE
brown,SLC25A6,0.611,-0.317,28.25,FALSE
brown,ACAD9,0.632,-0.436,28.18,FALSE
brown,AAAS,0.622,-0.33,28.11,FALSE
brown,SH2B1,0.611,-0.383,28.09,FALSE
brown,GYS1,0.614,-0.347,28.06,FALSE
brown,PDCD7,0.591,-0.427,28.06,FALSE
brown,SREBF2,0.63,-0.551,28.03,FALSE
brown,SFMBT1,0.603,-0.273,27.97,FALSE
brown,TAF3,0.59,-0.387,27.91,FALSE
brown,DPP7,0.615,-0.333,27.88,FALSE
brown,UBE2I,0.627,-0.351,27.8,FALSE
brown,FIP1L1,0.578,-0.373,27.79,FALSE
brown,LRRC8A,0.61,-0.396,27.78,FALSE
brown,PRPF3,0.61,-0.436,27.77,FALSE
brown,GPKOW,0.593,-0.362,27.59,FALSE
brown,ABCC10,0.604,-0.399,27.55,FALSE
brown,C16orf62,0.614,-0.305,27.55,FALSE
brown,MIF4GD,0.618,-0.402,27.51,FALSE
brown,PRMT7,0.613,-0.414,27.46,FALSE
brown,GTPBP6,0.606,-0.381,27.44,FALSE
brown,ARPC5L,0.596,-0.347,27.43,FALSE
brown,IK,0.594,-0.35,27.4,FALSE
brown,CCDC12,0.6,-0.364,27.38,FALSE
brown,FLAD1,0.625,-0.401,27.38,FALSE
brown,MAX,0.606,-0.292,27.36,FALSE
brown,ARHGEF6,0.618,-0.337,27.35,FALSE
brown,TRMT2B,0.62,-0.357,27.27,FALSE
brown,CDK10,0.616,-0.442,27.26,FALSE
brown,FOXP4,0.624,-0.515,27.21,FALSE
brown,WDR55,0.623,-0.241,27.21,FALSE
brown,DKFZP586I1420,0.608,-0.259,27.2,FALSE
brown,MAPK1IP1L,0.585,-0.338,27.18,FALSE
brown,CENPT,0.592,-0.325,27.1,FALSE
brown,MTHFR,0.614,-0.36,27.1,FALSE
brown,SFPQ,0.584,-0.419,27.05,FALSE
brown,GCDH,0.629,-0.355,26.94,FALSE
brown,NDUFAF3,0.599,-0.315,26.93,FALSE
brown,OPA3,0.616,-0.292,26.82,FALSE
brown,NUBP1,0.604,-0.255,26.66,FALSE
brown,TGFBRAP1,0.606,-0.347,26.62,FALSE
brown,NEK9,0.575,-0.372,26.6,FALSE
brown,NEURL4,0.605,-0.349,26.58,FALSE
brown,SPATS2,0.611,-0.399,26.51,FALSE
brown,PDE4A,0.592,-0.236,26.48,FALSE
brown,ZNF3,0.581,-0.303,26.42,FALSE
brown,C21orf2,0.62,-0.353,26.37,FALSE
brown,NOD1,0.62,-0.349,26.32,FALSE
brown,IL21R,0.597,-0.397,26.3,FALSE
brown,C9orf142,0.595,-0.395,26.28,FALSE
brown,AIFM1,0.599,-0.272,26.26,FALSE
